"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"M_Est_cig_curr_std","PUBLISHED","2007","AFR","ERI","FMLE","0.1 [0.0-0.2]","0.10000","0.00000","0.20000",""
"M_Est_cig_curr_std","PUBLISHED","2010","AFR","ERI","FMLE","0.1 [0.0-0.2]","0.10000","0.00000","0.20000",""
"M_Est_cig_curr_std","PUBLISHED","2012","AFR","ERI","FMLE","0.1 [0.0-0.2]","0.10000","0.00000","0.20000",""
"M_Est_cig_curr_std","PUBLISHED","2014","AFR","ERI","FMLE","0.1 [0.0-0.2]","0.10000","0.00000","0.20000",""
"M_Est_cig_curr_std","PUBLISHED","2016","AFR","ERI","FMLE","0.1 [0.0-0.2]","0.10000","0.00000","0.20000",""
"M_Est_cig_curr_std","PUBLISHED","2018","AFR","ERI","FMLE","0.1 [0.0-0.2]","0.10000","0.00000","0.20000",""
"M_Est_cig_curr_std","PUBLISHED","2014","AFR","GHA","FMLE","0.1 [0.0-0.2]","0.10000","0.00000","0.20000",""
"M_Est_cig_curr_std","PUBLISHED","2016","AFR","GHA","FMLE","0.1 [0.0-0.1]","0.10000","0.00000","0.10000",""
"M_Est_cig_curr_std","PUBLISHED","2018","AFR","GHA","FMLE","0.1 [0.0-0.1]","0.10000","0.00000","0.10000",""
"M_Est_cig_curr_std","PUBLISHED","2007","AFR","NER","FMLE","0.1 [0.0-0.1]","0.10000","0.00000","0.10000",""
"M_Est_cig_curr_std","PUBLISHED","2010","AFR","NER","FMLE","0.1 [0.0-0.1]","0.10000","0.00000","0.10000",""
"M_Est_cig_curr_std","PUBLISHED","2012","AFR","NER","FMLE","0.1 [0.0-0.1]","0.10000","0.00000","0.10000",""
"M_Est_cig_curr_std","PUBLISHED","2014","AFR","NER","FMLE","0.0 [0.0-0.1]","0.00000","0.00000","0.10000",""
"M_Est_cig_curr_std","PUBLISHED","2016","AFR","NER","FMLE","0.0 [0.0-0.1]","0.00000","0.00000","0.10000",""
"M_Est_cig_curr_std","PUBLISHED","2018","AFR","NER","FMLE","0.0 [0.0-0.1]","0.00000","0.00000","0.10000",""
"M_Est_cig_curr_std","PUBLISHED","2007","SEAR","PRK","FMLE","0.0 [0.0-0.0]","0.00000","0.00000","0.00000",""
"M_Est_cig_curr_std","PUBLISHED","2010","SEAR","PRK","FMLE","0.0 [0.0-0.0]","0.00000","0.00000","0.00000",""
"M_Est_cig_curr_std","PUBLISHED","2012","SEAR","PRK","FMLE","0.0 [0.0-0.0]","0.00000","0.00000","0.00000",""
"M_Est_cig_curr_std","PUBLISHED","2014","SEAR","PRK","FMLE","0.0 [0.0-0.0]","0.00000","0.00000","0.00000",""
"M_Est_cig_curr_std","PUBLISHED","2016","SEAR","PRK","FMLE","0.0 [0.0-0.0]","0.00000","0.00000","0.00000",""
"M_Est_cig_curr_std","PUBLISHED","2018","SEAR","PRK","FMLE","0.0 [0.0-0.0]","0.00000","0.00000","0.00000",""
"M_Est_cig_curr_std","PUBLISHED","2010","EMR","ARE","FMLE","0.5 [0.1-0.9]","0.50000","0.10000","0.90000",""
"M_Est_cig_curr_std","PUBLISHED","2012","EMR","ARE","FMLE","0.4 [0.1-0.8]","0.40000","0.10000","0.80000",""
"M_Est_cig_curr_std","PUBLISHED","2014","EMR","ARE","FMLE","0.4 [0.1-0.7]","0.40000","0.10000","0.70000",""
"M_Est_cig_curr_std","PUBLISHED","2016","EMR","ARE","FMLE","0.3 [0.1-0.7]","0.30000","0.10000","0.70000",""
"M_Est_cig_curr_std","PUBLISHED","2018","EMR","ARE","FMLE","0.3 [0.1-0.6]","0.30000","0.10000","0.60000",""
